produto,categoria,cliente,vendedor,data_venda,faturamento
Cadeira,Móveis,Amanda,Daniela,2024-06-28,1289.1
Cadeira,Móveis,Amanda,Eduardo,2024-02-04,1958.28
Cadeira,Móveis,Ana Beatriz,Carlos,2024-04-05,2771.72
Cadeira,Móveis,Ana Beatriz,Daniela,2024-10-12,1359.06
Cadeira,Móveis,Ana Beatriz,Eduardo,2024-03-01,734.75
Cadeira,Móveis,Ana Carolina,Ana,2024-09-14,2975.84
Cadeira,Móveis,Ana Carolina,Ana,2024-12-01,1298.98
Cadeira,Móveis,Ana Carolina,Bruno,2024-10-06,2220.5099999999998
Cadeira,Móveis,Ana Carolina,Carlos,2024-10-19,2152.17
Cadeira,Móveis,Ana Cecília,Bruno,2024-04-28,1427.36
Cadeira,Móveis,Ana Cecília,Daniela,2024-01-12,1526.14
Cadeira,Móveis,Ana Cecília,Eduardo,2024-09-01,3050.96
Cadeira,Móveis,Ana Clara,Bruno,2024-03-28,2580.56
Cadeira,Móveis,Ana Clara,Daniela,2024-08-02,2543.24
Cadeira,Móveis,Ana Julia,Carlos,2024-03-06,2118.57
Cadeira,Móveis,Ana Julia,Daniela,2024-03-30,2884.68
Cadeira,Móveis,Ana Júlia,Ana,2024-01-28,2726.28
Cadeira,Móveis,Ana Júlia,Carlos,2024-06-03,1930.38
Cadeira,Móveis,Ana Júlia,Eduardo,2024-02-25,2675.76
Cadeira,Móveis,Ana Júlia,Eduardo,2024-11-21,728.1
Cadeira,Móveis,Ana Laura,Carlos,2024-10-19,651.52
Cadeira,Móveis,Ana Liz,Eduardo,2024-09-28,2591.52
Cadeira,Móveis,Ana Liz,Eduardo,2024-12-09,744.5
Cadeira,Móveis,Ana Luiza,Carlos,2024-01-19,3000.04
Cadeira,Móveis,Ana Luiza,Eduardo,2024-01-16,665.76
Cadeira,Móveis,Ana Luiza,Eduardo,2024-05-03,2988.8
Cadeira,Móveis,Ana Lívia,Carlos,2024-02-08,769.31
Cadeira,Móveis,Ana Lívia,Daniela,2024-05-28,2912.16
Cadeira,Móveis,Ana Lívia,Daniela,2024-09-11,2640.64
Cadeira,Móveis,Ana Lívia,Eduardo,2024-02-24,719.37
Cadeira,Móveis,Ana Lívia,Eduardo,2024-09-28,1441.06
Cadeira,Móveis,Ana Vitória,Ana,2024-04-05,2784.24
Cadeira,Móveis,Ana Vitória,Ana,2024-09-06,2771.52
Cadeira,Móveis,Ana Vitória,Bruno,2024-04-14,2256.8999999999996
Cadeira,Móveis,Ana Vitória,Bruno,2024-10-30,1507.54
Cadeira,Móveis,Ana Vitória,Daniela,2024-09-26,1416.64
Cadeira,Móveis,Ana Vitória,Daniela,2024-11-01,639.75
Cadeira,Móveis,André,Ana,2024-07-02,2621.84
Cadeira,Móveis,André,Bruno,2024-01-22,635.09
Cadeira,Móveis,André,Carlos,2024-03-27,711.15
Cadeira,Móveis,André,Carlos,2024-10-23,682.29
Cadeira,Móveis,André,Daniela,2024-04-14,1982.7599999999998
Cadeira,Móveis,André,Eduardo,2024-06-22,1449.12
Cadeira,Móveis,Anna Liz,Carlos,2024-09-28,2202.06
Cadeira,Móveis,Anna Liz,Eduardo,2024-06-03,1496.56
Cadeira,Móveis,Anthony,Carlos,2024-07-28,2097.48
Cadeira,Móveis,Antonella,Bruno,2024-04-16,646.85
Cadeira,Móveis,Antonella,Eduardo,2024-03-13,1453.32
Cadeira,Móveis,Antony,Carlos,2024-03-27,693.74
Cadeira,Móveis,Antony,Daniela,2024-01-30,1277.24
Cadeira,Móveis,Antony,Eduardo,2024-09-05,633.11
Cadeira,Móveis,Antônio,Carlos,2024-10-31,2579.04
Cadeira,Móveis,Apollo,Ana,2024-03-21,1264.74
Cadeira,Móveis,Apollo,Carlos,2024-03-03,749.07
Cadeira,Móveis,Apollo,Carlos,2024-08-18,1990.47
Cadeira,Móveis,Arthur,Ana,2024-01-25,1446.86
Cadeira,Móveis,Arthur,Daniela,2024-08-08,2214.57
Cadeira,Móveis,Arthur,Daniela,2024-10-19,1492.78
Cadeira,Móveis,Arthur,Daniela,2024-12-26,2188.71
Cadeira,Móveis,Arthur Gabriel,Eduardo,2024-03-08,724.67
Cadeira,Móveis,Arthur Miguel,Ana,2024-09-04,1893.81
Cadeira,Móveis,Asafe,Ana,2024-06-17,1998.75
Cadeira,Móveis,Asafe,Ana,2024-11-29,2525.68
Cadeira,Móveis,Asafe,Daniela,2024-03-18,1476.7
Cadeira,Móveis,Asafe,Daniela,2024-09-22,2920.2
Cadeira,Móveis,Asafe,Eduardo,2024-06-28,763.45
Cadeira,Móveis,Asafe,Eduardo,2024-08-08,640.4
Cadeira,Móveis,Augusto,Ana,2024-04-01,2733.28
Cadeira,Móveis,Augusto,Daniela,2024-05-08,2283.42
Cadeira,Móveis,Augusto,Daniela,2024-09-25,641.75
Cadeira,Móveis,Augusto,Eduardo,2024-03-15,3038.6
Cadeira,Móveis,Aurora,Ana,2024-04-13,3003.2
Cadeira,Móveis,Aurora,Ana,2024-07-19,2987.16
Cadeira,Móveis,Aurora,Bruno,2024-08-01,2141.9700000000003
Cadeira,Móveis,Aurora,Daniela,2024-02-15,1362.02
Cadeira,Móveis,Aurora,Eduardo,2024-04-26,1276.0
Cadeira,Móveis,Ayla,Ana,2024-10-14,700.56
Cadeira,Móveis,Ayla,Carlos,2024-12-17,2892.6
Cadeira,Móveis,Ayla,Eduardo,2024-12-12,2156.0099999999998
Cadeira,Móveis,Aylla,Ana,2024-11-05,2230.32
Cadeira,Móveis,Aylla,Bruno,2024-01-02,765.25
Cadeira,Móveis,Aylla,Bruno,2024-09-26,2174.37
Cadeira,Móveis,Aylla,Daniela,2024-01-09,3017.68
Cadeira,Móveis,Aylla,Eduardo,2024-02-20,1984.6799999999998
Cadeira,Móveis,Aylla,Eduardo,2024-12-06,1288.52
Cadeira,Móveis,Beatriz,Carlos,2024-06-14,632.45
Cadeira,Móveis,Beatriz,Eduardo,2024-03-02,666.73
Cadeira,Móveis,Bella,Ana,2024-09-01,2973.76
Cadeira,Móveis,Bella,Ana,2024-10-11,2993.12
Cadeira,Móveis,Bella,Bruno,2024-03-02,1508.94
Cadeira,Móveis,Bella,Carlos,2024-06-21,2067.8999999999996
Cadeira,Móveis,Bella,Eduardo,2024-04-14,2054.37
Cadeira,Móveis,Bella,Eduardo,2024-09-22,2072.55
Cadeira,Móveis,Benicio,Bruno,2024-01-31,2727.16
Cadeira,Móveis,Benicio,Eduardo,2024-10-20,732.59
Cadeira,Móveis,Benjamim,Ana,2024-06-13,717.45
Cadeira,Móveis,Benjamim,Bruno,2024-09-19,1272.26
Cadeira,Móveis,Benjamim,Carlos,2024-04-16,2198.4900000000002
Cadeira,Móveis,Benjamim,Daniela,2024-12-18,1996.47
Cadeira,Móveis,Benjamim,Daniela,2024-12-25,1533.74
Cadeira,Móveis,Benjamim,Eduardo,2024-08-23,1488.6
Cadeira,Móveis,Benjamin,Ana,2024-01-22,2964.0
Cadeira,Móveis,Benjamin,Bruno,2024-01-03,2080.86
Cadeira,Móveis,Benjamin,Bruno,2024-06-14,701.96
Cadeira,Móveis,Benjamin,Bruno,2024-08-08,1381.38
Cadeira,Móveis,Benjamin,Eduardo,2024-06-18,2296.7400000000002
Cadeira,Móveis,Bento,Bruno,2024-07-14,2262.39
Cadeira,Móveis,Bento,Bruno,2024-08-06,653.16
Cadeira,Móveis,Bento,Carlos,2024-06-07,644.41
Cadeira,Móveis,Bento,Carlos,2024-11-01,2055.21
Cadeira,Móveis,Benício,Ana,2024-02-20,741.86
Cadeira,Móveis,Benício,Bruno,2024-06-15,763.87
Cadeira,Móveis,Benício,Carlos,2024-05-31,3022.4
Cadeira,Móveis,Benício,Carlos,2024-06-14,2877.48
Cadeira,Móveis,Bernardo,Bruno,2024-08-15,724.13
Cadeira,Móveis,Bernardo,Daniela,2024-02-27,2206.83
Cadeira,Móveis,Bianca,Bruno,2024-11-11,1370.92
Cadeira,Móveis,Bianca,Carlos,2024-02-05,755.38
Cadeira,Móveis,Bianca,Carlos,2024-06-25,755.37
Cadeira,Móveis,Brayan,Ana,2024-03-19,2122.8
Cadeira,Móveis,Brayan,Ana,2024-08-13,2193.8999999999996
Cadeira,Móveis,Brayan,Carlos,2024-10-18,1353.46
Cadeira,Móveis,Brayan,Daniela,2024-06-30,756.21
Cadeira,Móveis,Brayan,Eduardo,2024-04-18,2227.3500000000004
Cadeira,Móveis,Brayan,Eduardo,2024-10-06,670.41
Cadeira,Móveis,Brenda,Carlos,2024-06-24,1456.52
Cadeira,Móveis,Brenda,Daniela,2024-08-13,707.12
Cadeira,Móveis,Brenda,Daniela,2024-12-30,630.2
Cadeira,Móveis,Brenda,Eduardo,2024-12-25,2524.88
Cadeira,Móveis,Breno,Ana,2024-01-02,2143.8
Cadeira,Móveis,Breno,Ana,2024-07-08,2130.7799999999997
Cadeira,Móveis,Breno,Ana,2024-11-18,1470.92
Cadeira,Móveis,Breno,Ana,2024-12-20,674.94
Cadeira,Móveis,Breno,Carlos,2024-08-13,2136.9900000000002
Cadeira,Móveis,Breno,Daniela,2024-05-26,2168.31
Cadeira,Móveis,Breno,Eduardo,2024-07-21,769.75
Cadeira,Móveis,Bruna,Carlos,2024-12-26,2598.44
Cadeira,Móveis,Bruno,Daniela,2024-05-09,2167.3500000000004
Cadeira,Móveis,Bruno,Eduardo,2024-03-24,660.62
Cadeira,Móveis,Bruno,Eduardo,2024-04-25,2738.6
Cadeira,Móveis,Bruno,Eduardo,2024-11-27,2282.19
Cadeira,Móveis,Bryan,Ana,2024-12-29,2306.1000000000004
Cadeira,Móveis,Bryan,Carlos,2024-11-03,680.65
Cadeira,Móveis,Bryan,Eduardo,2024-04-28,637.47
Cadeira,Móveis,Bryan,Eduardo,2024-06-23,1434.38
Cadeira,Móveis,Bárbara,Bruno,2024-04-07,761.7
Cadeira,Móveis,Bárbara,Carlos,2024-05-31,756.82
Cadeira,Móveis,Bárbara,Daniela,2024-03-22,2001.78
Cadeira,Móveis,Bárbara,Daniela,2024-05-06,2762.56
Cadeira,Móveis,Bárbara,Eduardo,2024-08-16,1281.96
Cadeira,Móveis,Caio,Eduardo,2024-07-29,743.42
Cadeira,Móveis,Caio,Eduardo,2024-09-19,2004.03
Cadeira,Móveis,Calebe,Ana,2024-03-29,2114.31
Cadeira,Móveis,Calebe,Daniela,2024-01-19,2550.76
Cadeira,Móveis,Calebe,Eduardo,2024-06-05,2892.84
Cadeira,Móveis,Camila,Ana,2024-06-04,656.64
Cadeira,Móveis,Camila,Bruno,2024-05-15,633.61
Cadeira,Móveis,Camila,Daniela,2024-07-23,1522.0
Cadeira,Móveis,Camila,Daniela,2024-08-12,716.11
Cadeira,Móveis,Carlos Eduardo,Bruno,2024-01-13,1920.66
Cadeira,Móveis,Carlos Eduardo,Daniela,2024-09-25,681.7
Cadeira,Móveis,Carolina,Ana,2024-03-31,2077.08
Cadeira,Móveis,Carolina,Bruno,2024-03-27,1330.5
Cadeira,Móveis,Carolina,Bruno,2024-07-27,2233.38
Cadeira,Móveis,Carolina,Daniela,2024-10-18,2266.17
Cadeira,Móveis,Caroline,Carlos,2024-03-26,2271.87
Cadeira,Móveis,Caroline,Carlos,2024-07-02,2939.2
Cadeira,Móveis,Caroline,Daniela,2024-04-20,2601.8
Cadeira,Móveis,Catarina,Ana,2024-09-26,2626.96
Cadeira,Móveis,Catarina,Carlos,2024-01-30,1366.52
Cadeira,Móveis,Catarina,Carlos,2024-03-13,700.05
Cadeira,Móveis,Cauã,Eduardo,2024-12-19,644.68
Cadeira,Móveis,Cauê,Ana,2024-02-03,1357.54
Cadeira,Móveis,Cauê,Ana,2024-03-31,1963.23
Cadeira,Móveis,Cauê,Ana,2024-04-08,1528.46
Cadeira,Móveis,Cauê,Ana,2024-08-30,1908.54
Cadeira,Móveis,Cauê,Ana,2024-09-06,640.17
Cadeira,Móveis,Cauê,Bruno,2024-01-20,764.13
Cadeira,Móveis,Cauê,Daniela,2024-11-21,1284.52
Cadeira,Móveis,Cauê,Eduardo,2024-06-04,1264.74
Cadeira,Móveis,Cecilia,Daniela,2024-03-27,1895.73
Cadeira,Móveis,Cecilia,Eduardo,2024-09-22,2210.13
Cadeira,Móveis,Cecilia,Eduardo,2024-10-15,1417.74
Cadeira,Móveis,Clara,Eduardo,2024-11-10,682.1
Cadeira,Móveis,Clarice,Bruno,2024-04-13,2801.04
Cadeira,Móveis,Clarice,Eduardo,2024-12-16,1460.38
Cadeira,Móveis,Daniel,Ana,2024-02-28,2806.08
Cadeira,Móveis,Daniel,Ana,2024-08-15,1900.9499999999998
Cadeira,Móveis,Daniel,Ana,2024-11-15,739.31
Cadeira,Móveis,Daniel,Carlos,2024-08-27,2547.08
Cadeira,Móveis,Daniel,Eduardo,2024-06-23,2844.8
Cadeira,Móveis,Daniel,Eduardo,2024-07-04,2078.64
Cadeira,Móveis,Daniel,Eduardo,2024-09-11,1987.0500000000002
Cadeira,Móveis,Daniela,Daniela,2024-02-20,2129.16
Cadeira,Móveis,Danilo,Carlos,2024-01-11,2089.2599999999998
Cadeira,Móveis,Dante,Ana,2024-11-04,676.09
Cadeira,Móveis,Dante,Ana,2024-12-06,2191.8
Cadeira,Móveis,Dante,Bruno,2024-12-29,701.9
Cadeira,Móveis,Dante,Carlos,2024-06-06,2153.79
Cadeira,Móveis,Dante,Eduardo,2024-05-02,763.72
Cadeira,Móveis,Davi,Bruno,2024-10-19,1896.42
Cadeira,Móveis,Davi,Eduardo,2024-06-24,2859.24
Cadeira,Móveis,Davi,Eduardo,2024-11-20,674.57
Cadeira,Móveis,Davi Lucas,Carlos,2024-08-03,1284.54
Cadeira,Móveis,Davi Lucas,Carlos,2024-10-07,1969.02
Cadeira,Móveis,Davi Lucca,Eduardo,2024-02-22,2896.6
Cadeira,Móveis,Davi Luiz,Carlos,2024-02-26,1528.86
Cadeira,Móveis,Davi Miguel,Bruno,2024-03-17,768.57
Cadeira,Móveis,Davi Miguel,Carlos,2024-12-16,669.59
Cadeira,Móveis,Diego,Bruno,2024-03-06,1276.92
Cadeira,Móveis,Diego,Bruno,2024-03-27,1275.18
Cadeira,Móveis,Diego,Bruno,2024-05-16,2852.36
Cadeira,Móveis,Diego,Carlos,2024-08-12,2933.44
Cadeira,Móveis,Diego,Daniela,2024-10-24,678.65
Cadeira,Móveis,Diogo,Carlos,2024-05-30,1518.84
Cadeira,Móveis,Diogo,Carlos,2024-09-18,1467.04
Cadeira,Móveis,Diogo,Daniela,2024-08-26,1961.88
Cadeira,Móveis,Dom,Carlos,2024-01-13,2689.88
Cadeira,Móveis,Dom,Carlos,2024-01-25,663.17
Cadeira,Móveis,Dom,Carlos,2024-11-27,2081.64
Cadeira,Móveis,Dom,Eduardo,2024-03-26,1439.68
Cadeira,Móveis,Eduarda,Ana,2024-02-23,1434.52
Cadeira,Móveis,Eduarda,Ana,2024-05-21,669.63
Cadeira,Móveis,Eduarda,Carlos,2024-05-08,757.65
Cadeira,Móveis,Eduarda,Carlos,2024-08-03,2729.12
Cadeira,Móveis,Eduardo,Daniela,2024-01-16,2896.32
Cadeira,Móveis,Eduardo,Eduardo,2024-07-15,735.37
Cadeira,Móveis,Elisa,Ana,2024-07-04,1404.28
Cadeira,Móveis,Elisa,Carlos,2024-05-30,1512.24
Cadeira,Móveis,Eloah,Bruno,2024-01-20,2239.98
Cadeira,Móveis,Eloah,Bruno,2024-12-16,1376.86
Cadeira,Móveis,Eloá,Ana,2024-12-02,1307.44
Cadeira,Móveis,Eloá,Daniela,2024-04-02,1445.58
Cadeira,Móveis,Eloá,Daniela,2024-10-12,2295.45
Cadeira,Móveis,Emanuel,Ana,2024-08-08,2921.88
Cadeira,Móveis,Emanuel,Carlos,2024-10-09,725.94
Cadeira,Móveis,Emanuel,Daniela,2024-03-15,2768.0
Cadeira,Móveis,Emanuella,Ana,2024-11-18,738.2
Cadeira,Móveis,Emanuella,Bruno,2024-07-18,761.97
Cadeira,Móveis,Emanuella,Daniela,2024-01-15,1511.02
Cadeira,Móveis,Emanuella,Daniela,2024-04-08,1433.94
Cadeira,Móveis,Emanuella,Daniela,2024-07-25,768.65
Cadeira,Móveis,Emanuella,Eduardo,2024-01-22,2885.72
Cadeira,Móveis,Emanuella,Eduardo,2024-09-07,1301.16
Cadeira,Móveis,Emanuella,Eduardo,2024-12-11,700.41
Cadeira,Móveis,Emanuelly,Carlos,2024-09-06,1916.31
Cadeira,Móveis,Emanuelly,Eduardo,2024-02-10,2288.31
Cadeira,Móveis,Emanuelly,Eduardo,2024-04-05,2241.21
Cadeira,Móveis,Emilly,Bruno,2024-04-14,1534.74
Cadeira,Móveis,Emilly,Eduardo,2024-06-01,2899.36
Cadeira,Móveis,Enzo,Bruno,2024-02-21,1302.02
Cadeira,Móveis,Enzo,Bruno,2024-03-09,2020.8000000000002
Cadeira,Móveis,Enzo,Bruno,2024-10-16,2650.12
Cadeira,Móveis,Enzo,Carlos,2024-05-19,2981.36
Cadeira,Móveis,Enzo,Daniela,2024-12-27,2849.16
Cadeira,Móveis,Enzo,Eduardo,2024-09-23,2814.12
Cadeira,Móveis,Enzo Gabriel,Bruno,2024-03-05,2531.32
Cadeira,Móveis,Enzo Gabriel,Bruno,2024-03-10,695.65
Cadeira,Móveis,Enzo Gabriel,Carlos,2024-11-04,2675.96
Cadeira,Móveis,Enzo Gabriel,Daniela,2024-07-22,2709.56
Cadeira,Móveis,Enzo Gabriel,Eduardo,2024-06-28,1445.58
Cadeira,Móveis,Enzo Gabriel,Eduardo,2024-11-06,648.37
Cadeira,Móveis,Erick,Ana,2024-02-21,1911.33
Cadeira,Móveis,Erick,Carlos,2024-05-11,1367.0
Cadeira,Móveis,Ester,Ana,2024-07-26,720.82
Cadeira,Móveis,Ester,Carlos,2024-04-12,1893.0
Cadeira,Móveis,Ester,Daniela,2024-01-07,1323.02
Cadeira,Móveis,Ester,Daniela,2024-02-11,1345.46
Cadeira,Móveis,Esther,Ana,2024-05-14,1343.06
Cadeira,Móveis,Esther,Eduardo,2024-09-22,1934.4900000000002
Cadeira,Móveis,Evelyn,Carlos,2024-08-02,729.1
Cadeira,Móveis,Evelyn,Carlos,2024-12-21,2185.89
Cadeira,Móveis,Felipe,Bruno,2024-11-09,665.52
Cadeira,Móveis,Fernando,Carlos,2024-07-18,2018.8200000000002
Cadeira,Móveis,Fernando,Carlos,2024-09-29,2070.69
Cadeira,Móveis,Francisco,Bruno,2024-09-10,2909.56
Cadeira,Móveis,Francisco,Bruno,2024-11-26,2145.96
Cadeira,Móveis,Francisco,Carlos,2024-06-20,2794.76
Cadeira,Móveis,Francisco,Eduardo,2024-08-06,1423.02
Cadeira,Móveis,Gabriel,Bruno,2024-04-04,2210.0099999999998
Cadeira,Móveis,Gabriel,Bruno,2024-04-05,1502.76
Cadeira,Móveis,Gabriel,Daniela,2024-02-07,1514.36
Cadeira,Móveis,Gabriel,Daniela,2024-07-10,1406.48
Cadeira,Móveis,Gabriel,Eduardo,2024-01-30,2664.88
Cadeira,Móveis,Gabriel,Eduardo,2024-07-26,686.92
Cadeira,Móveis,Gabriela,Carlos,2024-10-28,1464.12
Cadeira,Móveis,Gabrielly,Bruno,2024-02-05,1261.46
Cadeira,Móveis,Gabrielly,Bruno,2024-05-21,1992.5700000000002
Cadeira,Móveis,Gael,Carlos,2024-06-16,2246.82
Cadeira,Móveis,Gael Henrique,Carlos,2024-07-30,1260.78
Cadeira,Móveis,Gael Henrique,Eduardo,2024-05-09,1322.88
Cadeira,Móveis,Giovanna,Ana,2024-05-16,2182.92
Cadeira,Móveis,Giovanna,Carlos,2024-07-21,1321.1
Cadeira,Móveis,Giovanna,Carlos,2024-12-09,1448.58
Cadeira,Móveis,Giovanna,Carlos,2024-12-12,1512.34
Cadeira,Móveis,Giovanna,Daniela,2024-04-23,690.31
Cadeira,Móveis,Giovanna,Eduardo,2024-12-10,698.01
Cadeira,Móveis,Guilherme,Daniela,2024-03-12,1360.28
Cadeira,Móveis,Guilherme,Eduardo,2024-08-26,1417.6
Cadeira,Móveis,Guilherme,Eduardo,2024-10-01,1423.5
Cadeira,Móveis,Gustavo,Carlos,2024-01-21,2894.6
Cadeira,Móveis,Gustavo Henrique,Ana,2024-06-04,2685.0
Cadeira,Móveis,Gustavo Henrique,Carlos,2024-04-14,2061.33
Cadeira,Móveis,Gustavo Henrique,Carlos,2024-07-30,1262.82
Cadeira,Móveis,Hadassa,Ana,2024-06-05,743.74
Cadeira,Móveis,Hadassa,Ana,2024-07-14,1930.1399999999999
Cadeira,Móveis,Hadassa,Daniela,2024-11-29,732.58
Cadeira,Móveis,Hadassa,Eduardo,2024-01-18,2984.04
Cadeira,Móveis,Hadassa,Eduardo,2024-11-02,2097.81
Cadeira,Móveis,Hadassa,Eduardo,2024-11-23,3003.32
Cadeira,Móveis,Heitor,Bruno,2024-03-02,631.54
Cadeira,Móveis,Heitor,Bruno,2024-12-17,689.71
Cadeira,Móveis,Heitor,Carlos,2024-08-09,1491.74
Cadeira,Móveis,Heitor,Carlos,2024-11-24,3032.56
Cadeira,Móveis,Heitor,Daniela,2024-01-07,2190.66
Cadeira,Móveis,Helena,Carlos,2024-05-10,640.3
Cadeira,Móveis,Helena,Daniela,2024-03-23,2303.16
Cadeira,Móveis,Hellena,Ana,2024-12-14,1310.62
Cadeira,Móveis,Hellena,Bruno,2024-07-20,2597.72
Cadeira,Móveis,Hellena,Daniela,2024-02-20,1492.7
Cadeira,Móveis,Hellena,Eduardo,2024-10-24,1417.28
Cadeira,Móveis,Heloisa,Bruno,2024-05-28,2255.3999999999996
Cadeira,Móveis,Heloisa,Bruno,2024-06-17,2259.27
Cadeira,Móveis,Heloisa,Carlos,2024-01-07,2524.12
Cadeira,Móveis,Heloisa,Eduardo,2024-03-04,2562.36
Cadeira,Móveis,Heloisa,Eduardo,2024-06-27,1398.48
Cadeira,Móveis,Heloisa,Eduardo,2024-12-23,1526.12
Cadeira,Móveis,Heloísa,Carlos,2024-12-08,2091.63
Cadeira,Móveis,Heloísa,Eduardo,2024-06-09,1461.1
Cadeira,Móveis,Henrique,Bruno,2024-01-12,2624.68
Cadeira,Móveis,Henrique,Bruno,2024-11-14,697.4
Cadeira,Móveis,Henrique,Daniela,2024-09-09,2637.92
Cadeira,Móveis,Henrique,Daniela,2024-11-19,2985.2
Cadeira,Móveis,Henrique,Eduardo,2024-02-29,1505.0
Cadeira,Móveis,Henry Gabriel,Ana,2024-12-02,2156.19
Cadeira,Móveis,Henry Gabriel,Bruno,2024-03-30,2627.36
Cadeira,Móveis,Ian,Ana,2024-06-19,2897.36
Cadeira,Móveis,Ian,Bruno,2024-07-01,1419.88
Cadeira,Móveis,Ian,Carlos,2024-11-20,1432.56
Cadeira,Móveis,Ian,Daniela,2024-08-31,2938.0
Cadeira,Móveis,Ian,Eduardo,2024-11-16,1962.87
Cadeira,Móveis,Igor,Bruno,2024-11-15,2987.92
Cadeira,Móveis,Igor,Carlos,2024-09-11,712.59
Cadeira,Móveis,Igor,Eduardo,2024-07-09,762.88
Cadeira,Móveis,Isaac,Daniela,2024-01-05,1402.32
Cadeira,Móveis,Isaac,Eduardo,2024-04-14,2280.93
Cadeira,Móveis,Isabel,Eduardo,2024-10-20,1522.02
Cadeira,Móveis,Isabela,Ana,2024-09-09,1300.8
Cadeira,Móveis,Isabela,Bruno,2024-09-16,2937.08
Cadeira,Móveis,Isabela,Eduardo,2024-09-20,2134.98
Cadeira,Móveis,Isabela,Eduardo,2024-12-30,2138.3999999999996
Cadeira,Móveis,Isabella,Ana,2024-06-23,735.11
Cadeira,Móveis,Isabella,Daniela,2024-11-05,2675.76
Cadeira,Móveis,Isabella,Daniela,2024-11-08,1289.18
Cadeira,Móveis,Isabelly,Carlos,2024-01-31,712.95
Cadeira,Móveis,Isabelly,Carlos,2024-05-07,2847.4
Cadeira,Móveis,Isabelly,Carlos,2024-08-11,2982.48
Cadeira,Móveis,Isabelly,Daniela,2024-01-08,1283.44
Cadeira,Móveis,Isadora,Bruno,2024-10-10,1365.86
Cadeira,Móveis,Isadora,Daniela,2024-08-14,1376.9
Cadeira,Móveis,Isadora,Eduardo,2024-11-02,1896.81
Cadeira,Móveis,Isaque,Ana,2024-05-15,662.65
Cadeira,Móveis,Isaque,Eduardo,2024-07-04,2225.73
Cadeira,Móveis,Isis,Eduardo,2024-03-17,2112.2400000000002
Cadeira,Móveis,Isis,Eduardo,2024-04-27,687.1
Cadeira,Móveis,Jade,Bruno,2024-10-27,2897.8
Cadeira,Móveis,Joana,Carlos,2024-03-04,2977.52
Cadeira,Móveis,Joana,Daniela,2024-11-10,1328.42
Cadeira,Móveis,Joaquim,Ana,2024-09-16,1968.96
Cadeira,Móveis,Joaquim,Carlos,2024-11-17,1518.5
Cadeira,Móveis,Joaquim,Eduardo,2024-01-04,709.55
Cadeira,Móveis,Josué,Bruno,2024-05-10,1400.68
Cadeira,Móveis,Josué,Carlos,2024-12-22,651.63
Cadeira,Móveis,Josué,Daniela,2024-07-04,2757.76
Cadeira,Móveis,Josué,Eduardo,2024-11-27,711.68
Cadeira,Móveis,José,Ana,2024-01-14,2275.17
Cadeira,Móveis,José,Ana,2024-07-11,709.31
Cadeira,Móveis,José,Ana,2024-08-21,2586.32
Cadeira,Móveis,José,Bruno,2024-01-12,721.23
Cadeira,Móveis,José,Bruno,2024-07-22,737.53
Cadeira,Móveis,José Miguel,Ana,2024-07-27,1410.7
Cadeira,Móveis,José Miguel,Daniela,2024-10-21,3062.8
Cadeira,Móveis,José Pedro,Bruno,2024-12-19,1308.08
Cadeira,Móveis,José Pedro,Carlos,2024-07-12,2746.0
Cadeira,Móveis,José Pedro,Daniela,2024-06-21,2996.88
Cadeira,Móveis,José Pedro,Daniela,2024-08-16,2024.1000000000001
